,name,Price,year,kms_driven,fuel_type,company
0,Maruti Alto Std,120000,2012,120000,Petrol,Maruti
1,Hyundai Grand i10,550000,2016,20000,Petrol,Hyundai
2,Hyundai i20 Asta,215000,2010,60000,Petrol,Hyundai
3,Maruti Alto K10,225999,2012,37000,Petrol,Maruti
4,Ford Ecosport 2015-2021,570000,2015,30000,Diesel,Ford
5,Maruti Wagon R,350000,2013,35000,Petrol,Maruti
6,Hyundai i10 Sportz,315000,2013,40000,Petrol,Hyundai
7,Maruti Wagon R,409999,2018,17512,Petrol,Maruti
8,Hyundai Venue SX,1050000,2019,20000,Petrol,Hyundai
9,Mahindra TUV 300,575000,2017,70000,Diesel,Mahindra
10,Tata Indigo LX,305000,2015,50000,Diesel,Tata
11,Renault Captur Platine,1150000,2019,18000,Diesel,Renault
12,Maruti Swift VXI,511000,2017,28321,Petrol,Maruti
13,Nissan Micra XL,409999,2016,27000,Petrol,Nissan
14,Hyundai Verna 1.6,425000,2013,65278,Diesel,Hyundai
15,Renault Duster 110PS,750000,2016,50000,Diesel,Renault
16,Mini Cooper Cooper,3250000,2017,6000,Petrol,others
17,Maruti Ciaz ZDi,650000,2016,76000,Diesel,Maruti
18,Maruti Swift VDI,627000,2016,20000,Diesel,Maruti
19,Mercedes-Benz C-Class C,1425000,2014,65000,Diesel,Mercedes-Benz
20,Maruti Swift VDI,425000,2014,62200,Diesel,Maruti
21,Toyota Innova 2.5,605000,2013,110000,Diesel,Toyota
22,Maruti Baleno Zeta,600000,2015,20000,Petrol,Maruti
23,Maruti Swift Dzire,575000,2016,40000,Petrol,Maruti
24,Fiat Grande Punto,260000,2012,97000,Diesel,others
25,Volkswagen Vento 1.6,425000,2013,47000,Petrol,Volkswagen
26,Maruti Alto K10,229999,2013,25000,Petrol,Maruti
27,Hyundai Creta 1.6,1225000,2019,15000,Diesel,Hyundai
28,Mahindra Xylo H9,375000,2010,56823,Diesel,Mahindra
29,Honda City i,750000,2015,50000,Petrol,Honda
30,Mahindra Bolero SLE,350000,2011,25000,Diesel,Mahindra
31,Maruti Swift Dzire,600000,2015,90000,Diesel,Maruti
32,Maruti Swift Dzire,390000,2013,45000,Diesel,Maruti
33,Honda City 2017-2020,145000,2007,77253,Petrol,Honda
34,Hyundai i20 Active,700000,2018,25000,Petrol,Hyundai
35,Toyota Fortuner 4x2,1150000,2013,110000,Diesel,Toyota
36,Renault KWID Climber,340000,2017,30000,Petrol,Renault
37,Honda Amaze S,465000,2016,39993,Petrol,Honda
38,Hyundai Santro Xing,125000,2009,80000,Petrol,Hyundai
39,Mahindra XUV500 W8,600000,2012,185000,Diesel,Mahindra
40,Maruti Swift Dzire,380000,2013,90000,Diesel,Maruti
41,Mahindra Xylo E8,400000,2009,60000,Diesel,Mahindra
42,Chevrolet Sail 1.3,300000,2014,90000,Diesel,Chevrolet
43,Hyundai Xcent 1.2,500000,2015,20000,Petrol,Hyundai
44,Hyundai i20 1.4,850000,2018,15000,Diesel,Hyundai
45,Hyundai i20 1.2,598000,2018,40000,Petrol,Hyundai
46,Honda City i,700000,2015,31180,Petrol,Honda
47,Mahindra TUV 300,900000,2018,40000,Diesel,Mahindra
48,Maruti 800 Std,75000,2004,50000,Petrol,Maruti
49,Tata Indigo LS,300000,2015,58000,Diesel,Tata
50,Maruti Swift Dzire,409999,2014,56000,Diesel,Maruti
51,Fiat Grande Punto,300000,2011,93000,Diesel,others
52,Ambassador Avigo 1800,225000,2010,86000,Petrol,others
53,Maruti Swift VDI,300000,2011,120000,Diesel,Maruti
54,Maruti Baleno Zeta,590000,2016,52427,Petrol,Maruti
55,Mahindra Bolero B6,850000,2020,40000,Diesel,Mahindra
56,Tata Nano Cx,108000,2011,70000,Petrol,Tata
57,Mahindra KUV100 NXT,550000,2018,17000,Petrol,Mahindra
58,Toyota Etios G,325000,2012,54325,Petrol,Toyota
59,Maruti Baleno Vxi,625000,2016,22000,Petrol,Maruti
60,Maruti Swift Dzire,600000,2016,54000,Petrol,Maruti
